Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666659892.5312545,659,3892,0,GPS1_Frame,42.337095,-71.08947333333333,14.5,327867.48298726435,4689318.967499409,19.0,T
1666659893.531302,660,3893,0,GPS1_Frame,42.337095,-71.08947333333333,14.5,327867.48298726435,4689318.967499409,19.0,T
1666659894.531358,661,3894,0,GPS1_Frame,42.337095,-71.08947333333333,14.5,327867.48298726435,4689318.967499409,19.0,T
1666659895.531626,662,3895,0,GPS1_Frame,42.337095,-71.08947333333333,14.5,327867.48298726435,4689318.967499409,19.0,T
1666659896.5314434,663,3896,0,GPS1_Frame,42.337095,-71.08947333333333,14.5,327867.48298726435,4689318.967499409,19.0,T
1666659897.5314517,664,3897,0,GPS1_Frame,42.337095,-71.08947333333333,14.5,327867.48298726435,4689318.967499409,19.0,T
1666659898.5309107,665,3898,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659899.5314212,666,3899,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659900.5316339,667,3900,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659901.5321157,668,3901,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659902.5258033,669,3902,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659903.5318015,670,3903,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659904.532153,671,3904,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659905.5313828,672,3905,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659906.531692,673,3906,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659907.5327404,674,3907,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659908.5280905,675,3908,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659909.5266714,676,3909,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
